serial,pod,animal,plant,fan,mix_a,mix_b,mix_c,mix_d,humidity,temperature,voltage
15691,pod_d,walrus,turnip,medium,83,57,10,18,41,cold,5.1
18441,pod_d,walrus,turnip,medium,49,19,27,19,19,cold,5.1
75417,pod_d,walrus,turnip,medium,55,81,22,20,44,cold,5.1
52222,pod_d,walrus,turnip,medium,77,29,20,19,29,cold,5.1
42002,pod_d,walrus,turnip,high,59,1,36,19,31,cold,5.1
78963,pod_d,walrus,turnip,medium,5,0,33,20,33,cold,5.1
41707,pod_d,walrus,turnip,coconut,77,40,22,18,21,cold,5.1
47271,pod_d,walrus,turnip,medium,39,31,25,20,37,cold,5.1
32563,pod_d,walrus,turnip,medium,2,36,20,17,44,cold,5.1
33206,pod_d,walrus,turnip,medium,15,18,35,19,24,cold,5.1
58234,pod_e,aardvark,melon,medium,70,31,37,1,43,cold,3.4
68928,pod_e,aardvark,melon,medium,96,65,0,12,71,hot,3.4
68407,pod_e,aardvark,melon,medium,83,17,26,6,52,cold,3.4
42940,pod_e,aardvark,melon,medium,98,42,20,0,73,cold,3.4
83645,pod_e,aardvark,melon,medium,41,36,40,3,36,hot,3.4
785,pod_e,aardvark,melon,low,23,65,38,14,34,cold,3.4
5626,pod_e,aardvark,melon,medium,72,0,30,17,40,hot,3.4
74818,pod_e,aardvark,apple,low,60,76,31,6,91,cold,3.4
18398,pod_e,aardvark,melon,medium,67,49,15,13,37,hot,3.4
29805,pod_e,aardvark,melon,medium,61,2,2,14,44,cold,3.4
17139,pod_e,aardvark,melon,medium,66,2,15,12,75,hot,3.4
1965,pod_e,aardvark,melon,medium,27,56,20,9,29,cold,3.4
98845,pod_e,aardvark,melon,coconut,37,26,34,0,85,hot,3.4
51674,pod_e,bat,turnip,high,50,80,26,16,64,cold,3.4
36793,pod_e,dog,melon,coconut,33,82,26,16,64,cold,3.4
42003,pod_e,dog,banana,high,82,91,35,2,81,hot,3.4
78480,pod_e,fly,banana,high,10,82,2,6,80,hot,3.4
96034,pod_e,fly,fish,low,86,54,0,11,81,cold,3.4
4477,pod_e,ostrich,fish,coconut,99,85,44,14,50,cold,3.4
23727,pod_e,ostrich,banana,low,99,85,44,16,50,cold,3.4
82457,pod_e,walrus,fish,coconut,45,31,10,17,34,cold,3.4
95604,pod_e,aardvark,melon,medium,88,35,27,6,64,hot,5.1
37119,pod_e,aardvark,melon,medium,62,13,29,12,74,cold,5.1
66329,pod_e,aardvark,melon,medium,65,73,15,12,41,cold,5.1
63040,pod_e,aardvark,melon,medium,60,36,20,10,89,cold,5.1
69807,pod_e,aardvark,melon,medium,83,70,41,0,91,cold,5.1
60151,pod_e,aardvark,melon,medium,5,41,36,2,65,hot,5.1
80858,pod_e,aardvark,melon,medium,54,63,31,10,43,hot,5.1
25243,pod_e,aardvark,fish,medium,32,22,33,6,67,cold,5.1
60527,pod_e,aardvark,melon,medium,49,4,21,0,62,hot,5.1
13808,pod_e,aardvark,melon,medium,73,13,8,4,54,hot,5.1
47796,pod_e,aardvark,melon,medium,52,6,16,11,27,cold,5.1
22344,pod_e,aardvark,melon,medium,52,74,4,17,47,hot,5.1
31081,pod_e,aardvark,turnip,medium,90,41,40,8,43,cold,5.1
29545,pod_e,aardvark,melon,medium,84,42,20,13,42,cold,5.1
73647,pod_e,aardvark,melon,medium,83,69,6,10,53,hot,5.1
94343,pod_e,aardvark,melon,medium,53,11,35,9,31,hot,5.1
54159,pod_e,aardvark,melon,medium,29,62,29,10,79,hot,5.1
67139,pod_e,aardvark,melon,medium,30,45,7,5,87,cold,5.1
32134,pod_e,aardvark,banana,medium,1,94,19,9,80,hot,5.1
70419,pod_e,aardvark,melon,medium,88,2,3,11,86,hot,5.1
54146,pod_e,aardvark,melon,medium,0,18,31,17,53,hot,5.1
18806,pod_e,aardvark,melon,medium,40,83,3,0,75,hot,5.1
38955,pod_e,aardvark,melon,medium,34,70,15,4,42,hot,5.1
66758,pod_e,aardvark,melon,medium,30,28,24,8,71,hot,5.1
93518,pod_e,aardvark,melon,medium,41,6,20,13,35,cold,5.1
23241,pod_e,aardvark,melon,medium,52,25,5,10,80,cold,5.1
88951,pod_e,aardvark,melon,medium,14,33,17,5,69,hot,5.1
48454,pod_e,aardvark,melon,medium,73,29,13,5,29,cold,5.1
1551,pod_e,aardvark,melon,medium,25,32,13,13,29,cold,5.1
97246,pod_e,aardvark,melon,medium,44,67,3,6,33,cold,5.1
59870,pod_e,aardvark,melon,medium,25,65,5,8,78,cold,5.1
74953,pod_e,aardvark,melon,medium,86,23,8,2,55,cold,5.1
99933,pod_e,aardvark,melon,medium,54,77,6,3,49,cold,5.1
44197,pod_e,aardvark,melon,medium,82,59,21,5,84,cold,5.1
48003,pod_e,aardvark,melon,medium,20,25,22,12,64,hot,5.1
68325,pod_e,aardvark,melon,medium,10,39,28,9,60,hot,5.1
10841,pod_e,aardvark,melon,medium,79,8,0,16,45,hot,5.1
11006,pod_e,aardvark,melon,medium,13,7,30,14,46,cold,5.1
22246,pod_e,aardvark,melon,medium,36,55,15,13,42,cold,5.1
81444,pod_e,aardvark,melon,medium,19,8,13,2,61,cold,5.1
91611,pod_e,aardvark,melon,medium,79,7,15,10,53,hot,5.1
71199,pod_e,aardvark,melon,medium,15,73,41,14,52,cold,5.1
66285,pod_e,aardvark,orange,medium,97,7,16,10,83,hot,5.1
97826,pod_e,aardvark,melon,medium,28,37,13,8,81,hot,5.1
44931,pod_e,aardvark,melon,medium,30,20,28,15,39,cold,5.1
20687,pod_e,aardvark,melon,medium,40,43,16,5,82,cold,5.1
60675,pod_e,aardvark,melon,medium,10,51,16,0,60,hot,5.1
28535,pod_e,aardvark,melon,medium,31,11,29,2,78,cold,5.1
5595,pod_e,aardvark,melon,medium,41,8,13,5,39,cold,5.1
70754,pod_e,aardvark,melon,medium,44,62,20,1,80,hot,5.1
93554,pod_e,aardvark,melon,medium,51,38,19,8,74,cold,5.1
69968,pod_e,aardvark,melon,medium,3,23,13,2,83,hot,5.1
61421,pod_e,aardvark,melon,medium,59,32,33,10,66,hot,5.1
77487,pod_e,aardvark,apple,medium,56,65,5,8,53,cold,5.1
52165,pod_e,aardvark,melon,medium,96,59,15,18,49,cold,5.1
27016,pod_e,aardvark,melon,medium,2,38,9,16,68,hot,5.1
15308,pod_e,aardvark,melon,medium,28,31,38,12,66,cold,5.1
42888,pod_e,aardvark,melon,medium,61,65,12,12,36,cold,5.1
14614,pod_e,aardvark,melon,medium,25,8,37,15,73,hot,5.1
22629,pod_e,aardvark,melon,medium,24,26,33,0,44,cold,5.1
15517,pod_e,aardvark,melon,medium,39,69,23,14,70,hot,5.1
37069,pod_e,aardvark,melon,medium,62,35,40,10,54,hot,5.1
22346,pod_e,aardvark,melon,medium,78,46,24,3,69,cold,5.1
16630,pod_e,aardvark,melon,medium,64,5,23,6,64,cold,5.1
71840,pod_e,aardvark,melon,medium,85,13,14,16,87,hot,5.1
55097,pod_e,aardvark,melon,medium,35,41,26,12,54,hot,5.1
65908,pod_e,aardvark,melon,medium,7,31,15,16,40,cold,5.1
40629,pod_e,aardvark,melon,medium,82,82,17,1,61,hot,5.1
89577,pod_e,aardvark,peach,medium,65,73,0,12,70,hot,5.1
24138,pod_e,aardvark,melon,medium,32,44,20,12,71,hot,5.1
42648,pod_e,bat,melon,low,80,41,41,15,54,hot,5.1
93459,pod_e,beetle,turnip,coconut,58,71,12,12,76,hot,5.1
26654,pod_e,beetle,banana,low,25,90,3,17,34,hot,5.1
76085,pod_e,cat,fish,coconut,77,48,32,3,42,hot,5.1
59860,pod_e,cat,melon,high,57,30,23,16,67,cold,5.1
52707,pod_e,swan,orange,low,93,37,18,9,93,hot,5.1
7072,pod_e,swan,melon,low,85,55,29,0,41,cold,5.1
81809,pod_e,walrus,melon,high,93,78,13,18,65,cold,5.1
