serial,pod,animal,plant,fan,mix_a,mix_b,mix_c,mix_d,humidity,temperature,voltage
78612,pod_b,walrus,orange,low,89,75,30,19,93,hot,5.1
79134,pod_a,beetle,peach,low,99,53,38,1,84,hot,3.4
79934,pod_a,beetle,melon,coconut,95,41,3,15,78,cold,3.4
79943,pod_e,aardvark,melon,medium,53,25,3,16,71,hot,5.1
80380,pod_c,bat,peach,high,94,23,41,0,34,cold,3.4
80414,pod_d,swan,turnip,medium,96,45,17,8,39,cold,5.1
80448,pod_e,aardvark,melon,medium,99,29,5,11,68,hot,5.1
80528,pod_a,beetle,orange,low,10,77,5,8,75,hot,3.4
80532,pod_e,aardvark,melon,medium,10,13,36,2,71,cold,5.1
80711,pod_b,fly,orange,low,44,79,22,18,82,hot,5.1
81590,pod_b,cat,orange,low,36,81,35,2,66,cold,3.4
81606,pod_e,aardvark,melon,medium,9,78,37,3,90,cold,5.1
81615,pod_b,fly,orange,low,36,63,39,15,90,hot,3.4
81645,pod_a,beetle,fish,high,38,55,30,10,85,hot,3.4
82022,pod_d,walrus,turnip,coconut,11,52,31,17,47,cold,5.1
82050,pod_a,beetle,orange,high,48,18,4,12,91,hot,3.4
82239,pod_c,bat,peach,low,13,64,37,9,78,hot,3.4
82328,pod_c,beetle,peach,coconut,13,0,9,9,76,cold,3.4
82340,pod_a,dog,banana,coconut,56,82,11,7,86,cold,5.1
82384,pod_a,beetle,melon,medium,84,48,28,5,79,hot,3.4
82586,pod_b,cat,orange,low,54,57,23,2,78,hot,3.4
82740,pod_d,dog,turnip,coconut,54,57,9,7,64,cold,5.1
82838,pod_e,aardvark,melon,medium,19,22,15,9,51,cold,5.1
83233,pod_e,aardvark,melon,medium,66,61,40,17,78,cold,5.1
83256,pod_c,bat,peach,high,42,1,10,9,67,hot,3.4
83874,pod_d,swan,turnip,medium,99,35,4,6,21,cold,5.1
83881,pod_c,bat,peach,low,91,60,35,18,28,hot,5.1
83926,pod_d,bat,turnip,medium,43,61,3,0,70,cold,5.1
84129,pod_e,dog,banana,high,21,82,16,16,67,hot,3.4
84209,pod_b,walrus,orange,medium,34,15,29,17,92,hot,3.4
84276,pod_e,aardvark,melon,medium,47,69,25,10,44,cold,5.1
84603,pod_d,walrus,turnip,medium,4,30,17,17,20,cold,5.1
84765,pod_e,ostrich,banana,low,99,85,44,7,50,cold,3.4
84766,pod_b,bat,peach,low,31,56,30,18,75,hot,5.1
84795,pod_d,swan,turnip,low,85,52,39,8,42,cold,5.1
84825,pod_e,aardvark,melon,medium,87,54,20,8,31,cold,5.1
85409,pod_d,fly,turnip,medium,94,83,50,9,58,cold,5.1
85792,pod_c,bat,peach,coconut,72,57,2,2,76,hot,5.1
85888,pod_d,dog,turnip,medium,49,49,22,9,61,cold,5.1
85931,Pod_0,bat,turnip,coconut,28,47,2,17,52,cold,3.4
86033,pod_a,beetle,apple,coconut,12,20,39,8,32,hot,3.4
86420,pod_d,dog,turnip,medium,67,8,14,9,19,cold,5.1
86740,pod_d,cat,turnip,medium,5,76,8,1,20,cold,5.1
86962,pod_c,bat,peach,low,47,82,18,2,73,hot,5.1
87352,pod_c,bat,peach,medium,81,2,3,12,35,cold,5.1
88189,pod_a,beetle,melon,medium,79,83,34,16,27,hot,3.4
88425,pod_e,aardvark,melon,medium,5,39,3,16,51,hot,5.1
88581,pod_d,cat,turnip,medium,50,0,1,3,55,cold,5.1
88820,pod_d,beetle,fish,medium,72,73,42,15,29,cold,3.4
88860,pod_a,beetle,banana,medium,29,96,31,1,39,hot,3.4
89403,pod_b,fly,orange,medium,82,34,12,8,75,cold,3.4
89522,pod_d,beetle,turnip,medium,9,11,29,10,34,cold,3.4
89540,pod_d,swan,turnip,medium,95,39,32,12,43,cold,5.1
90076,pod_a,beetle,melon,coconut,67,7,8,14,70,hot,3.4
90189,pod_e,aardvark,melon,medium,69,21,23,15,89,cold,5.1
90292,pod_e,aardvark,melon,medium,41,10,26,16,38,hot,5.1
90745,pod_a,beetle,turnip,coconut,98,36,36,8,68,hot,3.4
90970,pod_a,walrus,turnip,medium,26,4,19,20,39,cold,5.1
91233,pod_d,aardvark,turnip,medium,8,3,1,12,63,cold,5.1
91397,pod_c,walrus,turnip,medium,0,5,2,17,49,cold,5.1
91470,pod_b,walrus,fish,low,36,19,4,19,28,cold,5.1
91619,pod_e,aardvark,melon,medium,4,75,40,17,34,cold,5.1
91862,pod_c,bat,peach,low,9,83,35,6,34,hot,3.4
92027,pod_c,bat,peach,coconut,28,24,21,5,71,hot,5.1
92106,pod_e,aardvark,melon,medium,20,44,1,12,64,hot,5.1
92419,pod_d,fly,turnip,medium,46,73,50,7,48,cold,5.1
92435,pod_d,walrus,turnip,high,29,78,34,19,61,cold,5.1
92576,pod_e,aardvark,melon,medium,66,34,35,2,88,hot,5.1
92798,pod_a,beetle,fish,low,62,28,21,6,71,hot,3.4
93077,pod_a,walrus,turnip,coconut,10,57,28,19,28,hot,3.4
93220,pod_e,aardvark,melon,medium,84,23,42,5,53,hot,5.1
93266,pod_e,aardvark,melon,medium,84,37,16,9,42,cold,5.1
93365,pod_d,bat,turnip,medium,82,61,37,11,42,cold,5.1
93723,pod_b,aardvark,fish,low,40,80,11,18,45,hot,3.4
93961,pod_d,cat,orange,medium,81,28,32,17,62,cold,3.4
94143,pod_c,bat,peach,coconut,75,37,41,14,52,hot,3.4
94173,pod_a,swan,melon,coconut,77,66,38,12,54,hot,5.1
94294,pod_e,aardvark,melon,medium,20,73,36,11,71,hot,5.1
94810,pod_e,aardvark,melon,medium,50,74,29,15,46,hot,5.1
94896,pod_b,beetle,orange,coconut,99,8,24,4,79,hot,3.4
94907,pod_a,swan,apple,high,84,61,7,17,53,cold,3.4
94915,pod_a,beetle,peach,coconut,4,3,29,1,33,hot,3.4
95203,pod_a,beetle,apple,high,93,52,11,11,30,hot,3.4
95262,pod_b,beetle,orange,coconut,20,44,19,3,79,hot,3.4
95279,pod_b,bat,orange,low,34,63,28,4,79,hot,5.1
95311,pod_e,aardvark,melon,medium,32,80,29,0,74,cold,5.1
95764,pod_c,bat,peach,low,79,55,33,15,59,hot,3.4
96582,pod_a,walrus,turnip,medium,96,30,7,20,47,cold,5.1
96795,pod_a,beetle,melon,coconut,91,16,18,13,62,hot,3.4
96915,pod_c,bat,peach,high,25,19,41,12,32,hot,3.4
96927,pod_a,beetle,orange,coconut,38,46,26,2,61,hot,3.4
96981,pod_c,bat,peach,coconut,62,47,40,2,47,hot,5.1
97531,pod_e,aardvark,melon,medium,98,51,38,0,43,cold,3.4
97574,pod_a,beetle,fish,low,99,0,8,16,77,hot,3.4
97597,Pod_0,walrus,fish,coconut,95,68,36,17,64,cold,3.4
97648,pod_b,walrus,orange,low,10,72,21,20,85,hot,3.4
97797,pod_e,aardvark,melon,medium,71,5,26,7,78,cold,5.1
97978,pod_a,beetle,turnip,medium,65,31,2,17,29,hot,3.4
98311,pod_e,aardvark,apple,medium,19,3,12,13,68,cold,5.1
98355,pod_c,bat,peach,high,96,46,25,13,81,hot,5.1
98887,pod_e,beetle,turnip,coconut,90,78,7,14,44,hot,5.1
98890,pod_b,dog,orange,low,1,76,20,7,79,hot,5.1
98923,pod_a,beetle,melon,coconut,25,44,2,16,49,hot,3.4
99025,pod_b,cat,melon,low,7,20,9,10,35,hot,5.1
99119,pod_c,bat,peach,high,96,73,16,3,63,hot,3.4
99123,pod_c,bat,peach,high,87,29,16,1,75,hot,5.1
99182,pod_a,beetle,banana,medium,21,87,18,12,67,hot,3.4
99224,pod_e,bat,melon,low,12,52,13,7,43,hot,5.1
99359,pod_d,beetle,turnip,medium,95,65,27,9,62,cold,5.1
99372,pod_e,beetle,banana,low,30,95,19,4,65,hot,5.1
99669,pod_c,bat,peach,coconut,20,57,28,1,64,hot,5.1
99901,pod_e,aardvark,melon,medium,43,66,40,17,36,hot,5.1
